id,description,explanation,weight,category
30,"This service may track your online activity using third-party websites.","Even if you aren't using the service directly, the service has access to your online activity via thire-party sites.",-50.0,Privacy/Data
31,"Cookies used by this service only collect anonymized data.","Data collected from cookies is collected in an aggregated form so that it cannot be link to your unique identity.",50.0,Privacy/Data
32,"Third-party cookies are used for a variety of reasons such as advertising or statistics.","Third-party services may use their cookies on the service's domain for their own advertising purposes.",-50.0,Privacy/Data
33,"The service tracks which URL referred you to the service.","The service gathers which page brought you to its own service to use for a variety of reasons.",-20.0,Privacy/Data
34,"The service does not use tracking technology.","The service explicitly states that you are not being tracked.",50.0,Privacy/Data
35,"The service may track you via connected social media accounts.",N/A,-30.0,Privacy/Data
36,"Service features may be impacted if the user blocks first-party cookies.","You are allowed to block cookies but the service does not guarantee that your experience will not be impacted by some cookies being blocked.",0.0,Privacy/Data
37,"Temporary cookies are used.","Temporary (session) cookies do not need to be manually deleted. Once the browser is closed, cookies are automatically deleted.",30.0,Privacy/Data
38,"Tracking pixels, web beacons, browser fingerprinting, and/or device printing may be used for tracking user behavior.",N/A,-50.0,Privacy/Data
39,"Users cannot fully opt out of tracking technologies.",N/A,-50.0,Privacy/Data
40,"Do Not Track headers are ignored.",N/A,-15.0,Privacy/Data
41,"Do Not Track headers are granted.",N/A,30.0,Privacy/Data
42,"Users will be notified of a data breach that results in comprimised personal information.",N/A,30.0,Privacy/Data
43,"Personal data is kept for an undisclosed amount of time.",N/A,-30.0,Privacy/Data
44,"The service does not track user IP addresses.",N/A,50.0,Privacy/Data
45,"The service does collect user IP addresses.","Collecting IP address may give away general location but does not specify exact location.",0.0,Privacy/Data
46,"The service may inquire a precise user location.","Precise user location include coordinates via GPS or location information when sharing content .",-50.0,Privacy/Data
47,"The service may collect biometric data.",N/A,-50.0,Privacy/Data
48,"The service can access your browsing history.",N/A,-50.0,Privacy/Data
49,"You can request access or deletion of your data.",N/A,30.0,Privacy/Data
50,"Users can limit how personal data is used by service.",N/A,30.0,Privacy/Data
